кол-во элементов массива;размер массива;прямой обход (такт);обратный обход (такт);случайный обход (такт)
256;1 KB;6;6;6
281;1 KB;6;6;6
309;1 KB;6;6;6
339;1 KB;6;6;6
372;1 KB;6;6;6
409;1 KB;6;6;6
449;1 KB;6;6;6
493;1 KB;6;6;6
542;2 KB;6;6;6
596;2 KB;6;6;6
655;2 KB;6;6;6
720;2 KB;6;6;6
792;3 KB;6;6;6
871;3 KB;6;6;6
958;3 KB;6;6;6
1053;4 KB;6;6;6
1158;4 KB;6;6;6
1273;4 KB;6;6;6
1400;5 KB;6;6;6
1540;6 KB;6;6;6
1694;6 KB;6;6;6
1863;7 KB;6;6;6
2049;8 KB;6;6;6
2253;8 KB;6;6;6
2478;9 KB;6;6;6
2725;10 KB;6;6;6
2997;11 KB;6;6;6
3296;12 KB;6;6;6
3625;14 KB;6;6;6
3987;15 KB;6;6;6
4385;17 KB;6;6;6
4823;18 KB;6;6;6
5305;20 KB;6;6;6
5835;22 KB;6;6;6
6418;25 KB;6;6;6
7059;27 KB;6;6;6
7764;30 KB;6;6;6
8540;33 KB;6;6;6
9394;36 KB;6;6;6
10333;40 KB;6;6;7
11366;44 KB;6;6;7
12502;48 KB;6;6;8
13752;53 KB;6;6;8
15127;59 KB;6;6;8
16639;64 KB;6;6;9
18302;71 KB;6;6;9
20132;78 KB;6;6;9
22145;86 KB;6;6;10
24359;95 KB;6;6;10
26794;104 KB;6;6;10
29473;115 KB;6;6;10
32420;126 KB;6;6;10
35662;139 KB;6;6;10
39228;153 KB;6;6;11
43150;168 KB;6;6;11
47465;185 KB;6;6;11
52211;203 KB;6;6;11
57432;224 KB;6;6;12
63175;246 KB;6;6;13
69492;271 KB;6;6;15
76441;298 KB;6;6;17
84085;328 KB;6;6;18
92493;361 KB;6;6;20
101742;397 KB;6;6;21
111916;437 KB;6;6;23
123107;480 KB;6;6;25
135417;528 KB;6;6;26
148958;581 KB;6;6;27
163853;640 KB;6;6;28
180238;704 KB;6;6;30
198261;774 KB;6;6;31
218087;851 KB;6;6;31
239895;937 KB;6;6;32
263884;1 MB;6;6;33
290272;1.1 MB;6;6;34
319299;1.2 MB;6;6;35
351228;1.3 MB;6;6;35
386350;1.4 MB;6;6;36
424985;1.6 MB;6;6;36
467483;1.7 MB;6;6;37
514231;1.9 MB;6;6;38
565654;2.1 MB;6;6;40
622219;2.3 MB;6;6;45
684440;2.6 MB;6;6;50
752884;2.8 MB;6;6;56
828172;3.1 MB;6;6;65
910989;3.4 MB;6;6;78
1002087;3.8 MB;6;6;86
1102295;4.2 MB;6;6;91
1212524;4.6 MB;6;6;102
1333776;5 MB;6;6;113
1467153;5.5 MB;6;6;122
1613868;6.1 MB;6;6;131
1775254;6.7 MB;6;6;139
1952779;7.4 MB;6;6;149
2148056;8.1 MB;6;6;211
2362861;9 MB;6;6;164
2599147;9.9 MB;6;6;217
2859061;10.9 MB;6;6;174
3144967;11.9 MB;6;6;179
3459463;13.1 MB;6;6;186
3805409;14.5 MB;6;6;190
4185949;15.9 MB;6;6;193
4604543;17.5 MB;6;6;220
5064997;19.3 MB;6;6;222
5571496;21.2 MB;6;6;205
6128645;23.3 MB;6;6;207
6741509;25.7 MB;6;6;210
7415659;28.2 MB;6;6;213
8157224;31.1 MB;6;6;217
